,symbol,time_series,cdf_50,cdf_60,cdf_70,cdf_80,cdf_90
40969,GBPUSD=X,absolute log-return,68.68727418707347,39.44199116820554,27.097551184263352,26.154154957848263,25.150541951023683
45951,GBPUSD=X,log-return volatility,64.75311120032116,0.0,0.0,0.0,0.0
50933,CHFUSD=X,log-return,0.0,0.0,0.0,0.0,0.0
55967,CHFUSD=X,absolute log-return,18.7922129519269,13.567739372268576,8.680969408025433,0.0,0.0
61001,CHFUSD=X,log-return volatility,0.0,0.0,0.0,0.0,0.0
66035,EURUSD=X,absolute log-return,58.5228416180318,22.137250955926746,21.7347554840008,21.43288388005635,21.110887502515595
71004,EURUSD=X,log-return volatility,68.1022338498692,5.77581002213725,0.0,0.0,0.0
75973,SGD=X,absolute log-return,99.8189863234111,99.73853580048271,99.6580852775543,93.00080450522928,68.64440868865648
80945,SGD=X,log-return volatility,66.51246983105389,63.09332260659694,58.70876910699919,52.855993563958165,0.0
85917,CAD=X,absolute log-return,73.07158437438032,71.70335117985326,69.85921078722981,49.55383700178465,-1.4210854715202004e-14
90960,CAD=X,log-return volatility,55.89926630973626,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14
